size of row	rows	columns
8		9	13
16		9	22
24		9	32
32		8	24
40		8	25
48		8	25
56		8	25
64		8	25
72		9	25
80		9	26
88		8	26
96		9	26
104		8	27
112		9	20
120		9	14
128		8	26
136		9	12
144		8	11
152		8	12
160		9	29
168		8	12
176		8	12
184		8	12
192		9	28
200		8	12
208		8	12
216		8	13
224		8	23
232		8	13
240		8	12
248		9	13
256		8	30
264		9	13
272		8	13
280		8	13
288		8	13
296		8	13
304		9	12
312		8	14
320		8	37
328		9	13
336		8	13
344		8	14
352		8	13
360		8	13
368		8	13
376		8	13
384		9	32
392		9	13
400		8	13
